EasementID,RestorationCategory,County,Fire_Maps,Fire_Years,Mow_Map,Mow_Years,Seeding_Rest_Year,Seeding_Maps,Seeding_Lists,Target_Seeding_Size,Contiguous_Seeding_Size,Adjacent_Seeding_Size,Distance_btw_contiguous_adjacent,,
0074F,Seed + Fire,Walworth,Yes,2004; 2013; 2019,No,Unknown,2002,No,Yes,14.2,na,86.5,164.4 m,,
0075V,Seed,Green Lake,NA,NA,No,Unknown,2003,Yes,Yes,7,7,3,53 m,,
0077R,Seed ,Jefferson,No,No,No,2004-2008,2004,Yes,Yes,20,NA,10,30,,
0078F,Seed,Rock,No,No,No,Unknown,2004,Yes,Yes,98.3,NA,14.3,113 m,,
0078S,Seed,Dodge,NA,NA,Yes,2018;2016;2013;2012;2006,2006,Yes,Yes,14.3,NA,NA,NA,,
0078Z,No Seed,Green Lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
792,Seed + Fire,Jefferson,Yes,2014;2016,No,2012;2013;2014;2015,2005,Yes,Yes,49,54,44,133,,
007BQ,Seed,Rock,NA,NA,No,"2005, 2007, 2008,","2005, 2007",yes,yes,39,50,363,150,,
007BY,Seed + Fire,Walworth,Yes,2009,No,Unknown,2006,Yes,Yes,5.5,39,NA,NA,,
007C6,Seed + Fire,Jefferson,Yes,2014,No,"2005, 2006",2005,Yes,Yes,7.5,29,NA,NA,,
007CQ,No Seed,Dane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
007F5,Seed + Fire,Fond du Lac,Yes,2013,No,"2006, 2007",2006,Yes,Yes,150,150,NA,NA,,
007KH,Seed,Racine,NA,NA,No,NA,2009,Yes,Yes,48,84,NA,NA,,
007R5,No Seed,Marquette,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
007V7,Seed + Fire,Columbia,Yes,"2004, 2015",Yes,early 2000s,2000,No,Yes,20,,,,,
007XH,No Seed,Winnebago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
00MBG,Seed,Dane,Yes,,Yes,"2011, 2012, 2013",2010,Yes,Yes,20,50,NA,NA,,
00MDP,No Seed,Marquette,NA,NA,Yes,CUA 2012-2017,NA,NA,NA,NA,NA,NA,NA,,
00MJ8,Seed + Fire,Rock,Yes,2015; 2021,Yes,2012,2010,Yes,Yes,280,380,NA,NA,,
00MJ9,Seed + Fire,Rock,Yes,2014; 2021,Yes,2012,2010,Yes,Yes,18,36,19; 38,140; 200,,
00MJC,Seed + Fire,Dane,Yes,2019,No,"2011, 2012",2011,Yes,Yes,,,,,,
00NCQ,No Seed,Marquette,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
00VTR,Seed,Columbia,No,No,No,"2011, 2012",2011,Yes,Yes,,,,,,               
00WKB,Seed + Fire,Jefferson,No,2017; 2020,No,Unknown,2010,Yes,Yes,48.5,95,46,405,,
00WSC,Seed + Fire,Rock,Yes,2014;2021,Yes,maybe fall 2013/spring 2014,maybe 2007,Yes,No ,,,,,,
00WV0,Seed + Fire,Walworth,Yes,2017; 2019,No,Unknown,2012,Yes,No ,16,60,32,36 m,,
00WY5,Seed + Fire,Rock,Yes,Spring 2014,No,Unknown,2011,Yes,Yes,,,,,,
00XMS,Seed,Jefferson,NA,NA,No,2012; 2013; 2014,2012,No,No ,~19,NA,~66,260,,
00XMV,Seed,Rock,NA,NA,Yes,2013/2014,maybe 2009,Yes,No ,,,,,,
00XX7,Seed,Dodge,NA,NA,Yes,2015-2017,"2015, June",Yes,Yes,5,11.6,NA,NA,,
00XXK,No Seed,Racine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
00XYF,Seed,Green,NA,NA,No,"2011, 2012",2010,No,Yes,2,NA,NA,NA,,
0129D,Seed + Fire,Jefferson,No,2017; 2019; 2021,No,"2015, 2016, 2017",2015,Yes,Yes,31.5,NA,7.7; 5.6; 14.3,,,
0129G,Seed,Jefferson,NA,NA,No,"1-3 in 2015, 4-5 in 2016.",2015,Yes,Yes,23,NA,NA,NA,,
01DBS,Seed,Jefferson,NA,NA,No,2017-2019,2017,Yes,Yes,9.9,31.2,NA,NA,,
Oliver Prairie,Remnant,,,,,,,,,,,,,,
Westport Drumlin,Remnant,,,,,,,,,,,,,,
Arena Hill Prairie,Remnant,,,,,,,,,,,,,,
Black Earth Rettenmund,Remnant,,,,,,,,,,,,,,
Faville,Remnant,,,,,,,,,,,,,,
John Muir County Park,Remnant,,,,S,,,,,,,,,,
Pleasant Valley Conservancy,Remnant,,,,,,,,,,,,,,
